antecedent,consequent,ant_name,coq_name,support,confidence,lift,iteration
[ 9663 24849 26937],[47205],"['Country Morning White Bread', 'Banana', 'Organic Large Green Asparagus']",['Organic Hass Avocado'],1,0.07142857142857142,10.936631829350402,109
[24486],[24849],['Organic Whole Strawberries'],['Banana'],6757,0.2069018310980464,14.242546591529111,109
[4797],[45004],['Shredded Parmesan'],['Organic Zucchini'],3010,0.07986415134389345,24.68590465304697,109
[4797],[26206],['Shredded Parmesan'],['Limes'],3193,0.084719679482077,19.535959502866405,109
[34240 47622],[47205],"['Organic Baby Broccoli', 'Large Lemon']",['Organic Hass Avocado'],497,0.17826398852223815,27.294506552589702,109
[34240 45004],[47205],"['Organic Baby Broccoli', 'Organic Zucchini']",['Organic Hass Avocado'],820,0.21687384289870404,33.206171224793074,109
[33117],[21900],['Organic Egg Whites'],['Organic Baby Spinach'],4670,0.23079964416328952,31.01026054595884,109
[22932 31714],[21900],"['Organic Yellow Onion', 'Organic Cilantro']",['Organic Baby Spinach'],2000,0.22373867322966776,30.06154786855047,109
[22932 27101],[21900],"['Organic Yellow Onion', 'Fresh Cauliflower']",['Organic Baby Spinach'],2045,0.24957285818891872,33.53263123821144,109
[35458],[32652],['Blueberry Beet & Brown Rice Cakes'],['Organic Large Grade AA Brown Eggs'],24,0.0110803324099723,14.100731374904559,109
[22932 24849 35458],[21134],"['Organic Yellow Onion', 'Banana', 'Blueberry Beet & Brown Rice Cakes']",['Organic Strawberries'],4,0.25,30.680269035514574,109
[35458],[22932],['Blueberry Beet & Brown Rice Cakes'],['Organic Yellow Onion'],132,0.060941828254847646,17.50822445193931,109
[30388],[26206],['Organic Cucumber'],['Limes'],7762,0.09131227574848538,21.056181185321535,109
[19054 22472 26206],[21134],"['Organic Large Extra Fancy Fuji Apple', 'Jicama', 'Limes']",['Organic Strawberries'],3,0.14285714285714285,17.53158230600833,109
[45004 46663],[30388],"['Organic Zucchini', 'Organic Ginger Root']",['Organic Cucumber'],720,0.14425966740132237,57.39348254067485,109
[22960 45004],[47205],"['Organic Roasted Turkey Breast', 'Organic Zucchini']",['Organic Hass Avocado'],532,0.2858678130037614,43.77003431757216,109
[22032 22932],[8274],"['Organic Whole String Cheese', 'Organic Yellow Onion']",['Apple Honeycrisp Organic'],430,0.10401548137397194,40.30743640832549,109
[46203],[22032],['Red Grapefruit'],['Organic Whole String Cheese'],208,0.0350227310995117,19.206367144981805,109
[38647 47622],[21900],"['Organic Red Lentils', 'Large Lemon']",['Organic Baby Spinach'],229,0.27490996398559425,36.93692700774714,109
[27518 38647],[47622],"['Organic Lacinato (Dinosaur) Kale', 'Organic Red Lentils']",['Large Lemon'],64,0.12598425196850394,26.4980519656049,109
[24486],[47622],['Organic Whole Strawberries'],['Large Lemon'],2449,0.07498928287096576,15.772367445377727,109
[7945],[39272],['Organic Unsalted Butter'],['Organic Blueberries'],1024,0.0460183354305231,14.81822561906972,109
[7945],[24486],['Organic Unsalted Butter'],['Organic Whole Strawberries'],427,0.01918928635628258,19.87153252947132,109
[24486 47622],[39272],"['Organic Whole Strawberries', 'Large Lemon']",['Organic Blueberries'],294,0.12004899959167006,38.65661686044072,109
[10746 27842 44356],[47762],"['Organic Red Bell Pepper', 'Organic Whole Milk', 'Organic Small Bunch Celery']",['Organic Avocado'],50,0.17421602787456447,31.981882456079827,109
[10746],[47762],['Organic Red Bell Pepper'],['Organic Avocado'],6753,0.1127793179464912,20.703576668838416,109
[10746 31714],[22932],"['Organic Red Bell Pepper', 'Organic Cilantro']",['Organic Yellow Onion'],967,0.1957886211783762,56.24890527392495,109
[17791 46975],[45004],"['Carrots', 'Asparagus']",['Organic Zucchini'],557,0.16173054587688734,49.990700055280186,109
[17791],[21134],['Carrots'],['Organic Strawberries'],10170,0.13518004067364056,16.58944006439638,109
[9700],[47205],['Blueberry Scones'],['Organic Hass Avocado'],101,0.08729472774416594,13.36594417173852,109
[ 9836 21134 26206],[13173],"['Organic Broccoli', 'Organic Strawberries', 'Limes']",['Bag of Organic Bananas'],241,0.28656361474435194,24.5393494107371,109
[39272],[21134],['Organic Blueberries'],['Organic Strawberries'],25025,0.23827433207015405,29.24128244867946,109
[34455],[27842],['Vanilla Ice Cream Sandwich'],['Organic Whole Milk'],245,0.08387538514207463,19.86227122818404,109
[34455],[39272],['Vanilla Ice Cream Sandwich'],['Organic Blueberries'],111,0.038000684697021565,12.236486049560588,109
[27101 27963],[21900],"['Fresh Cauliflower', 'Organic Raspberries']",['Organic Baby Spinach'],1547,0.2257405515832482,30.330520420700182,109
